[2025-02-13 17:34:53,198: INFO: main: Welcome to custom log]
[2025-02-14 15:00:37,527: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:00:37,577: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:03:44,200: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:03:44,205: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:07:19,947: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:07:19,950: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:07:25,404: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:07:25,408: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:11:49,981: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:11:50,016: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:11:50,023: INFO: common: created directory at: artifacts]
[2025-02-14 15:11:50,029: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-14 15:11:50,035: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-14 15:12:11,187: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-14 15:37:33,517: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-14 15:37:33,520: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-14 15:37:33,523: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-14 15:37:33,525: INFO: common: created directory at: artifacts]
[2025-02-14 15:37:33,527: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-14 15:37:33,528: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-14 15:37:54,148: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-14 15:37:55,936: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
